mapping_id,registry,source_snapshot,source_section,source_group,source_field,source_label,source_type,source_required,target_domain,target_entity,target_attribute,mapping_action,review_status
MAP-00027,HF,index (8).html,HF Diagnosis,HF Diagnosis,ECG_Images,ECG Images,hidden,No,Diagnostic study,imaging_study,ecg_images,Refactor,Imaging review
MAP-00028,HF,index (8).html,In-Hospital Admission,IN-HOSPITAL ADMISSION BLOCK,Admission_Date,Admission Date,date,No,Episode,care_episode,admission_date,Refactor,Mapped shared core
MAP-00029,HF,index (8).html,In-Hospital Admission,In-Hospital Admission,Admission_Discharge_Date,Discharge Date,date,No,Episode,discharge,admission_discharge_date,Refactor,Mapped shared core
MAP-00030,HF,index (8).html,In-Hospital Admission,In-Hospital Admission,Admission_Reason,Reason / Notes,text,No,Episode,care_episode,admission_reason,Refactor,Mapped shared core
MAP-00031,HF,index (8).html,In-Hospital Admission,In-Hospital Admission,Admission_HF_Related,Cause of Admission,select,No,Episode,care_episode,admission_hf_related,Refactor,Mapped shared core
MAP-00032,HF,index (8).html,In-Hospital Admission,In-Hospital Admission,Admission_Cause,Specify Cause,text,No,Episode,care_episode,admission_cause,Refactor,Mapped shared core
MAP-00033,HF,index (8).html,In-Hospital Admission,In-Hospital Admission,Height,Height (cm),text,No,Observation,observation,height,Refactor,Unit/code review
MAP-00034,HF,index (8).html,In-Hospital Admission,In-Hospital Admission,Weight,Weight (kg),text,No,Observation,observation,weight,Refactor,Unit/code review
MAP-00035,HF,index (8).html,In-Hospital Admission,In-Hospital Admission,BMI,BMI Auto,text,No,Observation,observation,bmi,Refactor,Unit/code review
MAP-00036,HF,index (8).html,In-Hospital Admission,In-Hospital Admission,Dry_Weight,Dry Weight (kg),text,No,Observation,observation,dry_weight,Refactor,Unit/code review
MAP-00037,HF,index (8).html,In-Hospital Admission,In-Hospital Admission,NYHA,NYHA Visit,select,No,Assessment,functional_assessment,nyha,Refactor,Clinical rule review
MAP-00038,HF,index (8).html,In-Hospital Admission,KCCQ removed from baseline — tracked only in visits,KCCQ,NYHA Visit,hidden,No,Assessment,functional_assessment,kccq,Refactor,Clinical rule review
MAP-00039,HF,index (8).html,In-Hospital Admission,KCCQ removed from baseline — tracked only in visits,Sym_Dyspnea,Sym Dyspnea,checkbox,No,Registry metadata,form_response,value,Refactor,Domain review
MAP-00040,HF,index (8).html,In-Hospital Admission,In-Hospital Admission,Sym_Palpitations,Sym Palpitations,checkbox,No,Registry metadata,form_response,value,Refactor,Domain review
MAP-00041,HF,index (8).html,In-Hospital Admission,In-Hospital Admission,Sym_Fatigue,Sym Fatigue,checkbox,No,Registry metadata,form_response,value,Refactor,Domain review
MAP-00042,HF,index (8).html,In-Hospital Admission,In-Hospital Admission,Sym_ChestPain,Sym Chest Pain,checkbox,No,Registry metadata,form_response,value,Refactor,Domain review
MAP-00043,HF,index (8).html,In-Hospital Admission,In-Hospital Admission,Sym_Syncope,Sym Syncope,checkbox,No,Registry metadata,form_response,value,Refactor,Domain review
MAP-00044,HF,index (8).html,In-Hospital Admission,In-Hospital Admission,Sym_Other_Text,Syncope,text,No,Module extension,form_response,sym_other_text,Refactor,Domain review
MAP-00045,HF,index (8).html,In-Hospital Admission,In-Hospital Admission,Fatigue,Syncope,hidden,No,Registry metadata,form_response,value,Refactor,Domain review
MAP-00046,HF,index (8).html,In-Hospital Admission,In-Hospital Admission,BP,BP,text,No,Observation,observation,bp,Refactor,Unit/code review
MAP-00047,HF,index (8).html,In-Hospital Admission,In-Hospital Admission,Pulse,Pulse,text,No,Observation,observation,pulse,Refactor,Unit/code review
MAP-00048,HF,index (8).html,In-Hospital Admission,In-Hospital Admission,SpO2,SpO2 (%),text,No,Observation,observation,spo2,Refactor,Unit/code review
MAP-00049,HF,index (8).html,In-Hospital Admission,In-Hospital Admission,JVP,JVP,select,No,Observation,observation,jvp,Refactor,Unit/code review
MAP-00050,HF,index (8).html,In-Hospital Admission,In-Hospital Admission,Rales,Rales,select,No,Observation,observation,rales,Refactor,Unit/code review
MAP-00051,HF,index (8).html,In-Hospital Admission,In-Hospital Admission,Edema,Oedema,select,No,Observation,observation,edema,Refactor,Unit/code review
MAP-00052,HF,index (8).html,In-Hospital Admission,In-Hospital Admission,S3,S3 Gallop,select,No,Observation,observation,s3,Refactor,Unit/code review
MAP-00053,HF,index (8).html,In-Hospital Admission,In-Hospital Admission,Murmur,Murmur,text,No,Observation,observation,murmur,Refactor,Unit/code review
MAP-00054,HF,index (8).html,In-Hospital Admission,In-Hospital Admission,ECG_Done,Performed,select,No,Diagnostic study,imaging_study,ecg_done,Refactor,Imaging review
MAP-00055,HF,index (8).html,In-Hospital Admission,In-Hospital Admission,ECG_LBBB,LBBB,select,No,Diagnostic study,imaging_study,ecg_lbbb,Refactor,Imaging review
MAP-00056,HF,index (8).html,In-Hospital Admission,In-Hospital Admission,ECG_QRS,QRS Duration (ms),text,No,Diagnostic study,imaging_study,ecg_qrs,Refactor,Imaging review
MAP-00057,HF,index (8).html,In-Hospital Admission,In-Hospital Admission,ECG_Arrhythmia,Arrhythmia,text,No,Diagnostic study,imaging_study,ecg_arrhythmia,Refactor,Imaging review
MAP-00058,HF,index (8).html,In-Hospital Admission,In-Hospital Admission,ECG_Pacing,Pacing Rhythm,text,No,Diagnostic study,imaging_study,ecg_pacing,Refactor,Imaging review
MAP-00059,HF,index (8).html,In-Hospital Admission,In-Hospital Admission,Holter_Done,Performed,select,No,Diagnostic study,imaging_study,holter_done,Refactor,Imaging review
MAP-00060,HF,index (8).html,In-Hospital Admission,In-Hospital Admission,Holter_Date,Date,date,No,Diagnostic study,imaging_study,holter_date,Refactor,Imaging review
MAP-00061,HF,index (8).html,In-Hospital Admission,In-Hospital Admission,Holter_Duration,Duration (hours),text,No,Diagnostic study,imaging_study,holter_duration,Refactor,Imaging review
MAP-00062,HF,index (8).html,In-Hospital Admission,In-Hospital Admission,Holter_MaxHR,Max HR,text,No,Diagnostic study,imaging_study,holter_maxhr,Refactor,Imaging review
MAP-00063,HF,index (8).html,In-Hospital Admission,In-Hospital Admission,Holter_MinHR,Min HR,text,No,Diagnostic study,imaging_study,holter_minhr,Refactor,Imaging review
MAP-00064,HF,index (8).html,In-Hospital Admission,In-Hospital Admission,Holter_AvgHR,Avg HR,text,No,Diagnostic study,imaging_study,holter_avghr,Refactor,Imaging review
MAP-00065,HF,index (8).html,In-Hospital Admission,In-Hospital Admission,Holter_Arrhythmia,Arrhythmia Burden / Type,text,No,Diagnostic study,imaging_study,holter_arrhythmia,Refactor,Imaging review
MAP-00066,HF,index (8).html,In-Hospital Admission,In-Hospital Admission,Holter_Findings,Findings / Notes,textarea,No,Diagnostic study,imaging_study,holter_findings,Refactor,Imaging review
MAP-00067,HF,index (8).html,In-Hospital Admission,In-Hospital Admission,Echo_Done,Performed,select,No,Diagnostic study,imaging_study,echo_done,Refactor,Imaging review
MAP-00068,HF,index (8).html,In-Hospital Admission,In-Hospital Admission,ECHO,ECHO Details,text,No,Diagnostic study,imaging_study,echo,Refactor,Imaging review
MAP-00069,HF,index (8).html,In-Hospital Admission,In-Hospital Admission,Echo_EDVI,EDVI/EDD,text,No,Diagnostic study,imaging_study,echo_edvi,Refactor,Imaging review
MAP-00070,HF,index (8).html,In-Hospital Admission,In-Hospital Admission,Echo_ESVI,ESVI/ESD,text,No,Diagnostic study,imaging_study,echo_esvi,Refactor,Imaging review
MAP-00071,HF,index (8).html,In-Hospital Admission,In-Hospital Admission,Echo_EF,EF %,text,No,Diagnostic study,imaging_study,echo_ef,Refactor,Imaging review
MAP-00072,HF,index (8).html,In-Hospital Admission,In-Hospital Admission,CMR_Done,Performed,select,No,Diagnostic study,imaging_study,cmr_done,Refactor,Imaging review
MAP-00073,HF,index (8).html,In-Hospital Admission,In-Hospital Admission,CMR_CT,CMR Details,text,No,Diagnostic study,imaging_study,cmr_ct,Refactor,Imaging review
MAP-00074,HF,index (8).html,In-Hospital Admission,In-Hospital Admission,CMR_LVEDVI,LVEDVI/EDD,text,No,Diagnostic study,imaging_measurement,cmr_lvedvi,Refactor,Imaging review
MAP-00075,HF,index (8).html,In-Hospital Admission,In-Hospital Admission,CMR_LVESVI,LVESVI/ESD,text,No,Diagnostic study,imaging_measurement,cmr_lvesvi,Refactor,Imaging review
MAP-00076,HF,index (8).html,In-Hospital Admission,In-Hospital Admission,CMR_LVEF,LVEF %,text,No,Diagnostic study,imaging_measurement,cmr_lvef,Refactor,Imaging review
MAP-00077,HF,index (8).html,In-Hospital Admission,In-Hospital Admission,CMR_RVEDI,RVEDI,text,No,Diagnostic study,imaging_study,cmr_rvedi,Refactor,Imaging review
MAP-00078,HF,index (8).html,In-Hospital Admission,In-Hospital Admission,CMR_RVEF,RVEF %,text,No,Diagnostic study,imaging_study,cmr_rvef,Refactor,Imaging review
MAP-00079,HF,index (8).html,In-Hospital Admission,In-Hospital Admission,CMR_LGE,LGE,select,No,Diagnostic study,imaging_study,cmr_lge,Refactor,Imaging review
MAP-00080,HF,index (8).html,In-Hospital Admission,In-Hospital Admission,CMR_LGE_Pct,LGE %,text,No,Diagnostic study,imaging_study,cmr_lge_pct,Refactor,Imaging review
MAP-00081,HF,index (8).html,In-Hospital Admission,In-Hospital Admission,CMR_Others,CMR Others,text,No,Diagnostic study,imaging_study,cmr_others,Refactor,Imaging review
MAP-00082,HF,index (8).html,In-Hospital Admission,In-Hospital Admission,CT_Done,Performed,select,No,Registry metadata,form_response,value,Refactor,Domain review
MAP-00083,HF,index (8).html,In-Hospital Admission,In-Hospital Admission,CT_Angio,Findings,text,No,Diagnostic study,imaging_study,ct_angio,Refactor,Imaging review
MAP-00084,HF,index (8).html,In-Hospital Admission,In-Hospital Admission,CT_Calcium,Calcium Score,text,No,Registry metadata,form_response,value,Refactor,Domain review
MAP-00085,HF,index (8).html,In-Hospital Admission,In-Hospital Admission,CT_Notes,CT Angio Notes,text,No,Diagnostic study,imaging_study,ct_notes,Refactor,Imaging review
MAP-00086,HF,index (8).html,In-Hospital Admission,In-Hospital Admission,CAG_Done,CAG Performed,select,No,Procedure,procedure,cag_done,Refactor,Procedure review
MAP-00087,HF,index (8).html,In-Hospital Admission,In-Hospital Admission,CAG_Date,CAG Date,date,No,Procedure,procedure,cag_date,Refactor,Procedure review
MAP-00088,HF,index (8).html,In-Hospital Admission,In-Hospital Admission,CAG_Access,Access,select,No,Procedure,procedure,cag_access,Refactor,Procedure review
MAP-00089,HF,index (8).html,In-Hospital Admission,In-Hospital Admission,CAG_Findings,"Findings (vessels, % stenosis)",text,No,Procedure,procedure_finding,cag_findings,Refactor,Procedure review
MAP-00090,HF,index (8).html,In-Hospital Admission,In-Hospital Admission,CAG_PCI_Done,PCI Done,select,No,Procedure,procedure,cag_pci_done,Refactor,Procedure review
MAP-00091,HF,index (8).html,In-Hospital Admission,In-Hospital Admission,CAG_PCI_Date,PCI Date,date,No,Procedure,procedure,cag_pci_date,Refactor,Procedure review
MAP-00092,HF,index (8).html,In-Hospital Admission,In-Hospital Admission,CAG_Stents_Number,Number of Stents,text,No,Procedure,cad_stent,cag_stents_number,Refactor,Procedure review
MAP-00093,HF,index (8).html,In-Hospital Admission,In-Hospital Admission,CAG_PCI_Details,PCI Details,text,No,Procedure,procedure,cag_pci_details,Refactor,Procedure review
MAP-00094,HF,index (8).html,In-Hospital Admission,In-Hospital Admission,CAG_Notes,Notes,text,No,Procedure,procedure,cag_notes,Refactor,Procedure review
MAP-00095,HF,index (8).html,In-Hospital Admission,In-Hospital Admission,Walk_Completed,Completed,select,No,Registry metadata,form_response,value,Refactor,Domain review
MAP-00096,HF,index (8).html,In-Hospital Admission,In-Hospital Admission,Walk_Meters,Meters Walked,text,No,Registry metadata,form_response,value,Refactor,Domain review
MAP-00097,HF,index (8).html,In-Hospital Admission,In-Hospital Admission,Walk_Test,Meters Walked,hidden,No,Registry metadata,form_response,value,Refactor,Domain review
MAP-00098,HF,index (8).html,In-Hospital Admission,In-Hospital Admission,CPET_Done,Performed,select,No,Registry metadata,form_response,value,Refactor,Domain review
MAP-00099,HF,index (8).html,In-Hospital Admission,In-Hospital Admission,CPET_PeakVO2,Peak VO2,text,No,Registry metadata,form_response,value,Refactor,Domain review
MAP-00100,HF,index (8).html,In-Hospital Admission,In-Hospital Admission,CPET_VEVCO2,VE/VCO2 Slope,text,No,Registry metadata,form_response,value,Refactor,Domain review
MAP-00101,HF,index (8).html,In-Hospital Admission,In-Hospital Admission,CPET_RER,RER (validity),text,No,Registry metadata,form_response,value,Refactor,Domain review
MAP-00102,HF,index (8).html,In-Hospital Admission,In-Hospital Admission,CPET_AT,Anaerobic Threshold,text,No,Registry metadata,form_response,value,Refactor,Domain review
MAP-00103,HF,index (8).html,In-Hospital Admission,In-Hospital Admission,CPET_VO2HR,VO2/HR,text,No,Registry metadata,form_response,value,Refactor,Domain review
MAP-00104,HF,index (8).html,In-Hospital Admission,In-Hospital Admission,CPET_PetCO2,PetCO2,text,No,Registry metadata,form_response,value,Refactor,Domain review
MAP-00105,HF,index (8).html,In-Hospital Admission,In-Hospital Admission,RHC_Done,Performed,select,No,Registry metadata,form_response,value,Refactor,Domain review
MAP-00106,HF,index (8).html,In-Hospital Admission,In-Hospital Admission,RHC_CI,C.I (L/min/m2),text,No,Registry metadata,form_response,value,Refactor,Domain review
MAP-00107,HF,index (8).html,In-Hospital Admission,In-Hospital Admission,RHC_RAP,RAP (mmHg),text,No,Registry metadata,form_response,value,Refactor,Domain review
MAP-00108,HF,index (8).html,In-Hospital Admission,In-Hospital Admission,RHC_RVP,RVP (S/D/ED mmHg),text,No,Registry metadata,form_response,value,Refactor,Domain review
MAP-00109,HF,index (8).html,In-Hospital Admission,In-Hospital Admission,RHC_PCWP,PCWP (mmHg),text,No,Registry metadata,form_response,value,Refactor,Domain review
MAP-00110,HF,index (8).html,In-Hospital Admission,In-Hospital Admission,RHC_PAP,PAP (S/D/M),text,No,Registry metadata,form_response,value,Refactor,Domain review
MAP-00111,HF,index (8).html,In-Hospital Admission,In-Hospital Admission,RHC_PVR,PVR (Woods),text,No,Registry metadata,form_response,value,Refactor,Domain review
MAP-00112,HF,index (8).html,In-Hospital Admission,In-Hospital Admission,RHC_PAPi,PAPi,text,No,Registry metadata,form_response,value,Refactor,Domain review
MAP-00113,HF,index (8).html,In-Hospital Admission,In-Hospital Admission,RHC_LV,LV (S/D/ED),text,No,Registry metadata,form_response,value,Refactor,Domain review
MAP-00114,HF,index (8).html,In-Hospital Admission,In-Hospital Admission,RHC_MVO2,MVO2 Saturation (%),text,No,Registry metadata,form_response,value,Refactor,Domain review
MAP-00115,HF,index (8).html,In-Hospital Admission,In-Hospital Admission,Cath,MVO2 Saturation (%),hidden,No,Registry metadata,form_response,value,Refactor,Domain review
MAP-00116,HF,index (8).html,In-Hospital Admission,In-Hospital Admission,InHospital_Procedures,MVO2 Saturation (%),hidden,No,Procedure,procedure,inhospital_procedures,Refactor,Procedure review
MAP-00117,HF,index (8).html,In-Hospital Admission,In-Hospital Admission,Proc_Device_Done,Device Implanted During Admission,select,No,Episode,care_episode,proc_device_done,Refactor,Mapped shared core
MAP-00118,HF,index (8).html,In-Hospital Admission,In-Hospital Admission,Proc_Device_Type,Device Type,select,No,Procedure,procedure,proc_device_type,Refactor,Procedure review
MAP-00119,HF,index (8).html,In-Hospital Admission,In-Hospital Admission,Proc_Device_Date,Device Date,date,No,Procedure,procedure,proc_device_date,Refactor,Procedure review
MAP-00120,HF,index (8).html,In-Hospital Admission,In-Hospital Admission,Proc_Ablation_Done,Ablation Performed,select,No,Procedure,procedure,proc_ablation_done,Refactor,Procedure review
MAP-00121,HF,index (8).html,In-Hospital Admission,In-Hospital Admission,Proc_Ablation_Type,Type of Ablation,text,No,Procedure,procedure,proc_ablation_type,Refactor,Procedure review
MAP-00122,HF,index (8).html,In-Hospital Admission,In-Hospital Admission,Proc_Pericardiocentesis_Done,Pericardiocentesis,select,No,Safety event,complication,proc_pericardiocentesis_done,Refactor,Endpoint review
MAP-00123,HF,index (8).html,In-Hospital Admission,In-Hospital Admission,Proc_Pericardiocentesis_Volume,Volume Removed (mL),text,No,Safety event,complication,proc_pericardiocentesis_volume,Refactor,Endpoint review
MAP-00124,HF,index (8).html,In-Hospital Admission,In-Hospital Admission,Proc_Pleural_Tapping_Done,Pleural Tapping,select,No,Procedure,procedure,proc_pleural_tapping_done,Refactor,Procedure review
MAP-00125,HF,index (8).html,In-Hospital Admission,In-Hospital Admission,Proc_Pleural_Tapping_Volume,Volume Removed (mL),text,No,Procedure,procedure,proc_pleural_tapping_volume,Refactor,Procedure review
MAP-00126,HF,index (8).html,In-Hospital Admission,In-Hospital Admission,Proc_Ascites_Tapping_Done,Ascites Tapping,select,No,Procedure,procedure,proc_ascites_tapping_done,Refactor,Procedure review
MAP-00127,HF,index (8).html,In-Hospital Admission,In-Hospital Admission,Proc_Ascites_Tapping_Volume,Volume Removed (mL),text,No,Procedure,procedure,proc_ascites_tapping_volume,Refactor,Procedure review
MAP-00128,HF,index (8).html,In-Hospital Admission,In-Hospital Admission,Proc_Other_Done,Other Procedure,select,No,Procedure,procedure,proc_other_done,Refactor,Procedure review
MAP-00129,HF,index (8).html,In-Hospital Admission,In-Hospital Admission,InHospital_Procedures_Other,Specify Other Procedure(s),text,No,Procedure,procedure,inhospital_procedures_other,Refactor,Procedure review
MAP-00130,HF,index (8).html,In-Hospital Admission,In-Hospital Admission,InHospital_Procedures_Notes,Procedure Notes,textarea,No,Procedure,procedure,inhospital_procedures_notes,Refactor,Procedure review
MAP-00131,HF,index (8).html,In-Hospital Admission,In-Hospital Admission,Investigations_Other,Other Investigations / Notes,textarea,No,Module extension,form_response,investigations_other,Refactor,Domain review
MAP-00132,HF,index (8).html,In-Hospital Admission,In-Hospital Admission,DM,DM,select,No,Registry metadata,form_response,value,Refactor,Domain review
MAP-00133,HF,index (8).html,In-Hospital Admission,In-Hospital Admission,HTN,HTN,select,No,Registry metadata,form_response,value,Refactor,Domain review
MAP-00134,HF,index (8).html,In-Hospital Admission,In-Hospital Admission,AF,AF,select,No,Registry metadata,form_response,value,Refactor,Domain review
MAP-00135,HF,index (8).html,In-Hospital Admission,In-Hospital Admission,IHD,IHD,select,No,Registry metadata,form_response,value,Refactor,Domain review
MAP-00136,HF,index (8).html,In-Hospital Admission,In-Hospital Admission,PCI_CABG,PCI CABG,hidden,No,Procedure,procedure,pci_cabg,Refactor,Procedure review
MAP-00137,HF,index (8).html,In-Hospital Admission,In-Hospital Admission,CKD,CKD,select,No,Condition,condition,ckd,Refactor,Terminology review
MAP-00138,HF,index (8).html,In-Hospital Admission,In-Hospital Admission,Dialysis,Dialysis,select,No,Condition,condition,dialysis,Refactor,Terminology review
MAP-00139,HF,index (8).html,In-Hospital Admission,In-Hospital Admission,CVA,CVA,select,No,Registry metadata,form_response,value,Refactor,Domain review
MAP-00140,HF,index (8).html,In-Hospital Admission,In-Hospital Admission,PVD,PVD,select,No,Registry metadata,form_response,value,Refactor,Domain review
MAP-00141,HF,index (8).html,In-Hospital Admission,In-Hospital Admission,Alcohol,Alcohol,select,No,Registry metadata,form_response,value,Refactor,Domain review
MAP-00142,HF,index (8).html,In-Hospital Admission,In-Hospital Admission,Smoker,Smoker,select,No,Condition,condition,smoker,Refactor,Terminology review
MAP-00143,HF,index (8).html,In-Hospital Admission,In-Hospital Admission,Obese_OSA,Obese OSA,select,No,Condition,condition,obese_osa,Refactor,Terminology review
MAP-00144,HF,index (8).html,In-Hospital Admission,In-Hospital Admission,Obese,Obese,select,No,Condition,condition,obese,Refactor,Terminology review
MAP-00145,HF,index (8).html,In-Hospital Admission,In-Hospital Admission,OSA,OSA,select,No,Condition,condition,osa,Refactor,Terminology review
MAP-00146,HF,index (8).html,In-Hospital Admission,In-Hospital Admission,Dyslipidemia,Dyslipidemia,select,No,Condition,condition,dyslipidemia,Refactor,Terminology review
MAP-00147,HF,index (8).html,In-Hospital Admission,In-Hospital Admission,Valve_Surgery,Valve Surgery,select,No,Registry metadata,form_response,value,Refactor,Domain review
MAP-00148,HF,index (8).html,In-Hospital Admission,In-Hospital Admission,Lung_Dz,Lung Dz,select,No,Registry metadata,form_response,value,Refactor,Domain review
MAP-00149,HF,index (8).html,In-Hospital Admission,In-Hospital Admission,Liver_Dz,Liver Dz,select,No,Registry metadata,form_response,value,Refactor,Domain review
MAP-00150,HF,index (8).html,In-Hospital Admission,In-Hospital Admission,Device_Done,History of Device Fixation,select,No,Procedure,procedure,device_done,Refactor,Procedure review
MAP-00151,HF,index (8).html,In-Hospital Admission,In-Hospital Admission,Device_Type,Device Implanted,select,No,Procedure,procedure,device_type,Refactor,Procedure review
MAP-00152,HF,index (8).html,In-Hospital Admission,In-Hospital Admission,Device_Date,Device Date,date,No,Procedure,procedure,device_date,Refactor,Procedure review
MAP-00153,HF,index (8).html,In-Hospital Admission,In-Hospital Admission,Device_Info,Device Date,hidden,No,Procedure,procedure,device_info,Refactor,Procedure review
MAP-00154,HF,index (8).html,In-Hospital Admission,In-Hospital Admission,IHD_Visible,IHD Type,select,No,Module extension,form_response,ihd_visible,Refactor,Domain review
MAP-00155,HF,index (8).html,In-Hospital Admission,In-Hospital Admission,PCI_CABG_Visible,PCI / CABG (multi-select — tap to toggle),hidden,No,Procedure,procedure,pci_cabg_visible,Refactor,Procedure review
MAP-00156,HF,index (8).html,In-Hospital Admission,In-Hospital Admission,PCI_CABG_Date,Date of Procedure(s),date,No,Procedure,procedure,pci_cabg_date,Refactor,Procedure review
MAP-00157,HF,index (8).html,In-Hospital Admission,In-Hospital Admission,PCI_CABG_Details,"Procedure Details (vessels, stents, grafts, etc.)",text,No,Procedure,procedure_finding,pci_cabg_details,Refactor,Procedure review
MAP-00158,HF,index (8).html,In-Hospital Admission,In-Hospital Admission,Smoker_Visible,Smoking Status,select,No,Condition,condition,smoker_visible,Refactor,Terminology review
MAP-00159,HF,index (8).html,In-Hospital Admission,In-Hospital Admission,Frail,Frail,select,No,Registry metadata,form_response,value,Refactor,Domain review
MAP-00160,HF,index (8).html,In-Hospital Admission,In-Hospital Admission,Frailty_Deficits,Deficits Present,text,No,Assessment,functional_assessment,frailty_deficits,Refactor,Clinical rule review
MAP-00161,HF,index (8).html,In-Hospital Admission,In-Hospital Admission,Frailty_Items_Assessed,Deficits Assessed,text,No,Assessment,functional_assessment,frailty_items_assessed,Refactor,Clinical rule review
MAP-00162,HF,index (8).html,In-Hospital Admission,In-Hospital Admission,Frailty_Index,Frailty Index Auto,text,No,Assessment,functional_assessment,frailty_index,Refactor,Clinical rule review
MAP-00163,HF,index (8).html,In-Hospital Admission,VALVE INTERVENTION BLOCK,Valve_Intervention,Valve Intervention,select,No,Registry metadata,form_response,value,Refactor,Domain review
MAP-00164,HF,index (8).html,In-Hospital Admission,In-Hospital Admission,Valve_Repair_Valves,Valve Repair Valves,hidden,No,Diagnostic study,imaging_measurement,valve_repair_valves,Refactor,Imaging review
MAP-00165,HF,index (8).html,In-Hospital Admission,In-Hospital Admission,Valve_Repair_Date,Surgical Repair Date,date,No,Registry metadata,form_response,value,Refactor,Domain review
MAP-00166,HF,index (8).html,In-Hospital Admission,In-Hospital Admission,Valve_Replace_Valves,Valve Replace Valves,hidden,No,Diagnostic study,imaging_measurement,valve_replace_valves,Refactor,Imaging review
MAP-00167,HF,index (8).html,In-Hospital Admission,In-Hospital Admission,Valve_Replace_Type,Prosthesis Type,select,No,Module extension,form_response,valve_replace_type,Refactor,Domain review
MAP-00168,HF,index (8).html,In-Hospital Admission,In-Hospital Admission,Valve_Replace_Date,Surgical Replacement Date,date,No,Registry metadata,form_response,value,Refactor,Domain review
